index,NL,BIC_NL,SAC,BIC_SAC,LAP_bias,DAP
82,109.75,104.07142857142857,0.502197265625,0.43927001953125,0.140625,0.046875
83,109.75,103.28571428571429,0.50244140625,0.439453125,0.1328125,0.0390625
84,109.75,103.57142857142857,0.510009765625,0.43798828125,0.1484375,0.0390625
85,110.0,104.0,0.50634765625,0.4366455078125,0.140625,0.0390625
86,110.0,104.21428571428571,0.505126953125,0.4351806640625,0.140625,0.0390625
87,109.75,103.64285714285714,0.50634765625,0.43768310546875,0.1328125,0.046875
88,110.0,103.5,0.50146484375,0.43597412109375,0.1484375,0.0390625
89,109.75,103.42857142857143,0.502197265625,0.434326171875,0.1328125,0.0390625
90,109.75,104.0,0.498046875,0.43896484375,0.1328125,0.0390625
91,110.0,104.42857142857143,0.505126953125,0.4393310546875,0.1328125,0.046875
92,109.75,103.71428571428571,0.50390625,0.43670654296875,0.1328125,0.0390625
93,110.0,103.14285714285714,0.500244140625,0.43994140625,0.1484375,0.046875
94,110.0,102.71428571428571,0.507568359375,0.4410400390625,0.1484375,0.046875
95,109.75,103.07142857142857,0.50634765625,0.440673828125,0.1328125,0.046875
96,110.0,103.5,0.505615234375,0.44195556640625,0.125,0.046875
97,110.0,102.78571428571429,0.494140625,0.43939208984375,0.1328125,0.046875
98,109.5,103.5,0.494384765625,0.44049072265625,0.140625,0.0546875
99,110.0,104.07142857142857,0.50146484375,0.43670654296875,0.125,0.046875
